Dallas Stars*,82,52,21,9,113,.689,298,234,0.74,-0.04,.622,40
Dallas Stars*,82,52,21,9,113,.689,298,234,0.74,-0.04,.622,40
Winnipeg Jets*,82,52,24,6,110,.671,259,199,0.69,-0.04,.640,46
Colorado Avalanche*,82,50,25,7,107,.652,304,254,0.57,-0.05,.610,42
Nashville Predators*,82,47,30,5,99,.604,269,248,0.23,-0.02,.555,38
St. Louis Blues,82,43,33,6,92,.561,239,250,-0.14,-0.01,.506,31
Minnesota Wild,82,39,34,9,87,.530,251,263,-0.14,0.01,.476,32
Arizona Coyotes,82,36,41,5,77,.470,256,274,-0.21,0.01,.427,28
Chicago Blackhawks,82,23,53,6,52,.317,179,290,-1.29,0.06,.280,17
