Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Dallas Stars,29.3,82,52,21,9,113,.689,294,232,0.74,-0.04,3.59,2.83,58,240,24.17,43,239,82.01,12,4,2588,11.4,2350,.901,100.5,4
League Average,28.6,82,41,33,8,90,.552,253,253,,,,,52,247,20.98,52,247,79.02,7,7,2483,10.2,2483,.898,,5
